LIMIT_BAL,SEX,EDUCATION,MARRIAGE1,AGE_RANGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
>225k,male,3,married,41-50,-1,-1,2,2,2,2,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,0,0,0,0,0,1
>225k,female,1,single,31-40,1,-2,-1,0,-1,-1,<10K,<10K,10-30k,<10K,<10K,10-30k,0,10-20k,0,5-10k,5-10k,0,0
150-225k,female,1,single,20-30,0,0,0,0,-2,-2,>100k,>100k,30-60k,<10K,<10K,<10K,5-10k,1-5k,0,0,0,0,1
>225k,female,1,married,31-40,0,0,0,0,0,0,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,5-10k,5-10k,1-5k,1-5k,1-5k,5-10k,0
150-225k,female,1,single,20-30,2,2,2,2,2,2,60-100k,60-100k,60-100k,60-100k,60-100k,30-60k,1-5k,1-5k,0,5-10k,0,1-5k,1
>225k,female,2,single,20-30,-2,-2,-1,0,0,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,5-10k,<1K,0,<1K,<1K,0
<75K,female,2,single,20-30,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,5-10k,1-5k,<1K,1-5k,1-5k,0
75-150k,female,2,married,31-40,1,2,0,0,0,2,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,0,1-5k,1-5k,1-5k,1-5k,0,1
75-150k,female,1,single,20-30,0,0,0,0,0,2,30-60k,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,<1K,1-5k,0,<1K,0
<75K,male,1,single,31-40,0,0,0,3,2,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,<1K,1-5k,<1K,0
>225k,female,2,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,10-20k,10-20k,5-10k,5-10k,5-10k,5-10k,0
75-150k,male,2,married,31-40,2,2,2,2,2,2,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,5-10k,0,5-10k,0,1-5k,1-5k,1
150-225k,female,3,married,51-60,-1,-1,-1,-1,-1,-1,<10K,60-100k,30-60k,<10K,<10K,<10K,>20k,>20k,<1K,<1K,<1K,<1K,0
>225k,female,1,single,31-40,-2,-2,-2,-2,-2,-2,10-30k,10-30k,<10K,10-30k,60-100k,<10K,10-20k,0,10-20k,>20k,1-5k,10-20k,0
<75K,female,2,married,31-40,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,female,4,married,31-40,-1,-1,-1,-1,0,0,<10K,<10K,<10K,<10K,<10K,<10K,5-10k,5-10k,5-10k,1-5k,0,0,0
150-225k,female,2,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,>100k,60-100k,60-100k,1-5k,5-10k,1-5k,1-5k,1-5k,1-5k,1
>225k,male,3,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,10-20k,10-20k,>20k,10-20k,10-20k,10-20k,0
150-225k,male,1,single,31-40,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,<1K,<1K,<1K,<1K,<1K,0
150-225k,female,3,married,>60,1,-2,-2,-2,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,<1K,0,0,0
>225k,male,1,married,41-50,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,60-100k,60-100k,5-10k,5-10k,1-5k,>20k,>20k,>20k,1
75-150k,female,1,single,20-30,1,-1,-1,-1,-1,-2,<10K,<10K,<10K,<10K,<10K,<10K,<1K,<1K,<1K,0,0,>20k,0
75-150k,female,3,married,41-50,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,10-20k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,single,20-30,-1,0,0,0,0,-1,10-30k,10-30k,10-30k,10-30k,10-30k,60-100k,5-10k,5-10k,5-10k,5-10k,>20k,1-5k,0
75-150k,female,3,others,20-30,-2,-2,-2,-1,0,0,<10K,10-30k,10-30k,10-30k,<10K,<10K,>20k,1-5k,10-20k,<1K,<1K,10-20k,0
>225k,female,1,single,31-40,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,<1K,0,<1K,<1K,0,<1K,0
<75K,male,3,married,41-50,0,0,2,3,2,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,0,0,1-5k,1-5k,0
150-225k,female,2,married,31-40,0,0,0,0,-2,-1,60-100k,60-100k,60-100k,<10K,<10K,<10K,5-10k,1-5k,0,0,1-5k,0,0
<75K,female,2,single,20-30,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,<10K,<10K,1-5k,1-5k,<1K,<1K,1-5k,1-5k,0
<75K,male,3,single,20-30,0,0,-2,-2,-2,-2,10-30k,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,0
>225k,female,1,married,41-50,-2,-2,-2,-2,-2,-1,<10K,<10K,<10K,<10K,<10K,60-100k,<1K,<1K,0,0,>20k,10-20k,1
<75K,female,3,single,31-40,1,2,2,2,2,2,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,0,1-5k,1-5k,1-5k,5-10k,0,0
150-225k,female,1,married,31-40,0,0,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,0
>225k,female,1,married,31-40,1,-1,0,0,0,-1,<10K,<10K,<10K,<10K,<10K,<10K,5-10k,5-10k,1-5k,0,5-10k,0,0
>225k,female,1,single,20-30,1,-2,-2,-1,0,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,0,1-5k,0,1-5k,5-10k,0
>225k,female,2,single,31-40,-1,-1,-1,-1,0,0,<10K,<10K,<10K,<10K,<10K,<10K,5-10k,5-10k,1-5k,0,0,5-10k,0
150-225k,female,2,married,31-40,0,0,2,2,2,0,60-100k,60-100k,60-100k,60-100k,60-100k,>100k,5-10k,0,5-10k,0,5-10k,1-5k,0
75-150k,male,2,single,20-30,0,0,-2,-2,-2,-2,60-100k,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,0
<75K,male,3,single,41-50,1,2,2,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,0,<1K,<1K,<1K,1-5k,0
>225k,female,2,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,>100k,60-100k,60-100k,5-10k,5-10k,5-10k,5-10k,1-5k,1-5k,0
>225k,female,1,single,31-40,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,10-20k,10-20k,5-10k,5-10k,5-10k,5-10k,0
>225k,female,1,single,20-30,-2,-1,2,-1,0,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,0,1-5k,0,<1K,1-5k,0
150-225k,male,2,married,31-40,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,<1K,<1K,<1K,<1K,<1K,<1K,0
150-225k,female,1,married,31-40,-1,0,0,0,-1,0,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,male,2,single,20-30,0,0,-1,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,10-20k,1-5k,1-5k,1-5k,1-5k,0
<75K,male,2,married,20-30,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,male,1,single,20-30,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,>20k,0
75-150k,female,3,married,51-60,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,0
>225k,male,1,married,51-60,-1,0,0,-1,-1,0,<10K,10-30k,<10K,10-30k,10-30k,10-30k,>20k,1-5k,5-10k,10-20k,10-20k,5-10k,0
>225k,male,1,married,31-40,-1,-1,-1,-1,-1,-1,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,10-20k,10-20k,10-20k,10-20k,10-20k,<1K,1
150-225k,male,2,married,41-50,2,2,2,2,2,2,10-30k,30-60k,10-30k,10-30k,10-30k,<10K,1-5k,0,1-5k,0,<1K,0,1
<75K,female,1,single,20-30,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,married,31-40,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,5-10k,5-10k,5-10k,5-10k,0
<75K,female,1,single,20-30,0,0,0,0,0,0,30-60k,30-60k,30-60k,<10K,<10K,<10K,1-5k,1-5k,1-5k,1-5k,<1K,<1K,1
>225k,male,2,married,41-50,0,0,2,0,0,2,>100k,>100k,>100k,>100k,>100k,>100k,>20k,0,10-20k,>20k,>20k,10-20k,0
>225k,female,1,single,31-40,-1,-1,2,0,0,-1,<10K,10-30k,<10K,<10K,<10K,<10K,10-20k,0,0,0,<1K,10-20k,0
150-225k,male,1,single,20-30,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,5-10k,10-20k,5-10k,5-10k,0
<75K,male,1,single,20-30,0,-1,-1,-1,0,0,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,5-10k,1-5k,1-5k,0,1
>225k,female,3,single,41-50,1,-2,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,<1K,0,1-5k,1-5k,<1K,1
75-150k,female,1,single,20-30,-1,-1,-1,-1,0,0,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,<1K,1-5k,0,0,<1K,1
>225k,male,1,single,20-30,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,10-20k,5-10k,10-20k,5-10k,1
<75K,female,3,single,51-60,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
75-150k,male,3,single,41-50,0,0,0,-1,0,0,60-100k,60-100k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,>20k,1-5k,1-5k,5-10k,0
>225k,female,3,married,41-50,0,0,0,0,0,0,30-60k,30-60k,30-60k,60-100k,60-100k,>100k,1-5k,1-5k,5-10k,5-10k,1-5k,1-5k,0
>225k,male,1,single,31-40,0,0,0,2,0,0,60-100k,60-100k,30-60k,30-60k,30-60k,10-30k,10-20k,1-5k,<1K,1-5k,1-5k,0,0
150-225k,female,1,single,20-30,0,0,0,0,0,0,30-60k,60-100k,30-60k,30-60k,30-60k,30-60k,>20k,10-20k,1-5k,5-10k,1-5k,1-5k,0
150-225k,female,2,single,51-60,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,5-10k,5-10k,5-10k,1-5k,0
75-150k,male,2,single,20-30,2,2,2,0,0,2,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,10-20k,0,1-5k,5-10k,0,1-5k,1
<75K,female,3,single,>60,0,0,0,2,2,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,5-10k,1-5k,0,1-5k,1-5k,0
<75K,female,2,married,31-40,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,10-30k,10-30k,1-5k,1-5k,1-5k,<1K,<1K,<1K,0
<75K,female,1,single,20-30,0,0,0,-2,-2,-1,10-30k,<10K,<10K,<10K,<10K,<10K,1-5k,<1K,0,0,1-5k,<1K,0
75-150k,female,1,single,20-30,-1,0,0,-1,-1,0,10-30k,10-30k,<10K,<10K,<10K,10-30k,10-20k,1-5k,5-10k,10-20k,10-20k,5-10k,0
>225k,male,2,single,31-40,0,0,0,0,0,0,60-100k,60-100k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,female,2,single,31-40,1,-2,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,5-10k,1-5k,0,<1K,<1K,0
75-150k,female,1,single,20-30,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,<1K,<1K,1-5k,1-5k,<1K,1-5k,0
75-150k,female,2,married,31-40,2,2,2,2,2,2,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,1-5k,<1K,5-10k,1-5k,1-5k,1-5k,1
<75K,male,2,single,41-50,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,<10K,1-5k,1-5k,1-5k,<1K,0,0,0
150-225k,female,1,married,31-40,-1,-1,-1,-1,0,-1,10-30k,<10K,<10K,<10K,<10K,<10K,1-5k,<1K,5-10k,<1K,<1K,<1K,0
75-150k,female,2,married,20-30,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,<1K,<1K,<1K,<1K,<1K,<1K,0
<75K,male,2,married,51-60,2,0,0,0,0,-1,10-30k,10-30k,10-30k,30-60k,<10K,<10K,1-5k,1-5k,1-5k,0,5-10k,<1K,1
<75K,male,2,single,20-30,1,2,2,0,0,0,60-100k,60-100k,30-60k,10-30k,10-30k,10-30k,1-5k,0,<1K,1-5k,<1K,>20k,0
<75K,male,2,single,20-30,0,0,0,0,0,0,30-60k,30-60k,30-60k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,<1K,<1K,<1K,0
150-225k,female,2,single,31-40,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,5-10k,5-10k,5-10k,5-10k,0
<75K,male,2,married,51-60,0,0,2,2,2,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,0,1-5k,0,1-5k,0,1
150-225k,female,1,married,31-40,1,-2,-2,-2,-2,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,<1K,<1K,0
>225k,female,3,married,41-50,-2,-1,2,-1,-1,-1,10-30k,<10K,<10K,<10K,<10K,<10K,5-10k,0,1-5k,1-5k,5-10k,1-5k,0
<75K,female,3,married,31-40,0,0,0,0,0,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,1-5k,0,1-5k,1
75-150k,male,2,married,41-50,-1,2,-1,0,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,5-10k,0,1-5k,1-5k,1-5k,1
150-225k,male,2,married,31-40,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,<1K,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,female,2,married,41-50,-1,-1,-1,-1,-1,-1,10-30k,10-30k,10-30k,10-30k,<10K,10-30k,10-20k,>20k,>20k,1-5k,>20k,0,0
75-150k,female,2,single,20-30,1,-2,-2,-2,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,<1K,<1K,1-5k,1
75-150k,female,1,married,51-60,0,0,0,0,0,0,>100k,>100k,>100k,30-60k,30-60k,30-60k,1-5k,5-10k,1-5k,1-5k,1-5k,1-5k,0
75-150k,female,2,married,41-50,-2,-2,-2,-2,-2,-2,<10K,<10K,10-30k,10-30k,<10K,<10K,5-10k,>20k,10-20k,5-10k,5-10k,10-20k,0
>225k,female,2,married,41-50,0,0,0,0,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,<1K,<1K,<1K,1-5k,0
<75K,female,1,single,20-30,1,2,0,0,2,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,0,1-5k,1-5k,0,1-5k,0,1
<75K,male,2,single,31-40,1,2,2,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,married,20-30,-1,-1,-1,0,0,0,<10K,<10K,>100k,>100k,60-100k,10-30k,5-10k,>20k,5-10k,5-10k,1-5k,5-10k,1
<75K,female,2,others,41-50,2,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,<1K,<1K,<1K,1
150-225k,female,2,married,41-50,2,2,2,2,2,2,>100k,>100k,>100k,>100k,>100k,>100k,0,10-20k,5-10k,5-10k,5-10k,5-10k,0
<75K,male,3,single,51-60,1,2,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,0,1-5k,<1K,<1K,<1K,<1K,1
>225k,female,2,married,31-40,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,<1K,<1K,1-5k,0,0
<75K,female,3,married,51-60,0,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,female,2,married,51-60,-1,-1,-2,-2,-2,-1,<10K,<10K,<10K,<10K,<10K,<10K,<1K,0,0,0,5-10k,1-5k,0
75-150k,male,3,married,41-50,2,2,2,2,2,2,>100k,>100k,>100k,>100k,>100k,>100k,0,10-20k,5-10k,5-10k,1-5k,<1K,1
<75K,male,2,married,41-50,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,<1K,1-5k,<1K,1
75-150k,female,2,single,20-30,0,0,0,0,0,-1,<10K,10-30k,<10K,<10K,<10K,<10K,5-10k,1-5k,5-10k,1-5k,5-10k,1-5k,0
<75K,female,1,single,31-40,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,single,20-30,-2,-2,-2,-2,-2,-2,10-30k,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,<1K,0,1-5k,<1K,0
75-150k,female,2,married,51-60,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,female,2,married,20-30,0,0,0,0,0,0,60-100k,30-60k,30-60k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,<1K,1-5k,1-5k,0
>225k,female,1,single,20-30,-1,0,0,-2,-2,-2,<10K,10-30k,<10K,<10K,<10K,<10K,10-20k,0,0,0,0,0,0
>225k,male,2,single,31-40,0,0,0,0,0,0,10-30k,10-30k,<10K,<10K,<10K,<10K,1-5k,1-5k,<1K,<1K,<1K,>20k,0
150-225k,female,2,married,41-50,1,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,1
>225k,male,1,single,20-30,0,-1,-1,0,-1,-1,10-30k,<10K,<10K,10-30k,<10K,<10K,1-5k,5-10k,10-20k,1-5k,1-5k,1-5k,0
75-150k,male,1,single,20-30,0,0,0,0,0,0,60-100k,60-100k,60-100k,10-30k,30-60k,10-30k,1-5k,1-5k,<1K,>20k,<1K,>20k,0
<75K,female,3,married,41-50,2,0,0,0,0,0,30-60k,30-60k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,<1K,<1K,<1K,<1K,1
>225k,female,2,married,31-40,0,0,0,2,2,2,>100k,60-100k,60-100k,60-100k,60-100k,60-100k,5-10k,5-10k,0,1-5k,0,1-5k,0
75-150k,male,1,single,20-30,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,30-60k,5-10k,1-5k,1-5k,1-5k,5-10k,5-10k,0
<75K,male,1,single,20-30,2,2,2,2,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,<1K,1-5k,1-5k,0,1
>225k,female,1,married,41-50,-2,-2,-2,-2,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,<1K,0,0,<1K,<1K,1-5k,0
75-150k,female,2,married,31-40,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,5-10k,1-5k,1-5k,1
75-150k,male,1,single,20-30,1,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,0
>225k,female,1,married,31-40,-2,-2,-1,0,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,5-10k,5-10k,1-5k,1-5k,1-5k,>20k,0
<75K,female,3,single,31-40,0,0,0,0,0,0,60-100k,60-100k,60-100k,10-30k,10-30k,10-30k,10-20k,10-20k,5-10k,5-10k,5-10k,5-10k,0
75-150k,male,2,others,41-50,0,0,0,0,0,0,10-30k,10-30k,30-60k,30-60k,30-60k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,female,5,others,31-40,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,female,2,single,20-30,0,0,0,2,0,0,>100k,>100k,>100k,>100k,>100k,>100k,10-20k,5-10k,0,5-10k,5-10k,1-5k,1
75-150k,male,2,single,20-30,0,0,0,0,0,0,60-100k,60-100k,60-100k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,single,31-40,0,0,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,<1K,<1K,<1K,<1K,<1K,1-5k,0
<75K,male,2,single,31-40,0,0,-1,-1,-2,-2,60-100k,30-60k,<10K,<10K,<10K,<10K,1-5k,1-5k,0,0,0,0,0
150-225k,female,1,married,20-30,1,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,0,0,0,1
150-225k,male,2,married,31-40,0,0,2,2,2,2,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,5-10k,1-5k,0,5-10k,0,1-5k,0
<75K,female,3,single,31-40,2,2,2,2,2,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,0,1-5k,0,1-5k,0,1
150-225k,female,1,single,20-30,0,0,0,0,0,0,>100k,>100k,>100k,60-100k,60-100k,60-100k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,male,2,single,31-40,5,4,3,4,3,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,0,<1K,0,0,0,0,0
<75K,male,2,single,20-30,2,2,2,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,5-10k,0,1-5k,1-5k,1-5k,1-5k,0
>225k,male,1,single,31-40,-2,-2,-2,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,0,0,0,>20k,1
>225k,female,1,single,20-30,0,0,0,0,0,0,60-100k,30-60k,30-60k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,female,2,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,60-100k,60-100k,60-100k,5-10k,10-20k,5-10k,5-10k,5-10k,5-10k,0
150-225k,male,2,single,31-40,-1,0,0,0,0,0,60-100k,60-100k,60-100k,60-100k,60-100k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,male,1,married,31-40,-1,2,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,<1K,<1K,<1K,<1K,<1K,1
<75K,female,2,single,20-30,0,0,0,2,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,0,<1K,<1K,<1K,0
150-225k,female,1,married,41-50,1,-2,-1,-1,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,0,1-5k,0,0,0,0,1
150-225k,female,1,married,31-40,1,-1,-1,0,-1,-1,<10K,10-30k,10-30k,<10K,<10K,<10K,10-20k,10-20k,0,1-5k,0,>20k,0
150-225k,female,2,single,31-40,1,-1,-1,-1,-1,-2,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,<1K,<1K,0,0,1-5k,1
<75K,female,5,single,20-30,2,2,-1,-1,-1,-1,<10K,<10K,10-30k,10-30k,10-30k,<10K,0,10-20k,10-20k,10-20k,<1K,0,0
>225k,male,3,married,51-60,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,0,<1K,0,0
<75K,female,2,married,31-40,1,2,2,2,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,0,1-5k,0,1-5k,1-5k,1-5k,0
>225k,female,2,single,20-30,-1,-1,0,0,0,0,<10K,30-60k,30-60k,30-60k,30-60k,30-60k,>20k,1-5k,1-5k,1-5k,1-5k,1-5k,0
>225k,male,3,married,31-40,0,0,-1,-1,-1,2,<10K,<10K,<10K,<10K,<10K,<10K,0,1-5k,0,1-5k,0,5-10k,0
150-225k,female,2,single,31-40,-1,-1,-1,-1,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,5-10k,5-10k,10-20k,0
150-225k,female,1,single,41-50,-1,-1,-1,-1,-1,-2,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,1-5k,1-5k,0,0,5-10k,0
<75K,male,2,married,31-40,0,0,0,0,0,-2,10-30k,10-30k,10-30k,<10K,<10K,<10K,1-5k,1-5k,1-5k,0,0,0,0
<75K,male,3,single,51-60,2,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
150-225k,female,1,single,31-40,2,2,2,2,2,2,60-100k,60-100k,60-100k,60-100k,60-100k,60-100k,1-5k,1-5k,5-10k,1-5k,0,1-5k,1
<75K,male,2,married,20-30,2,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,10-30k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,1
150-225k,male,3,married,41-50,0,0,0,0,0,0,>100k,>100k,>100k,>100k,>100k,>100k,5-10k,5-10k,5-10k,5-10k,1-5k,5-10k,0
75-150k,female,1,single,20-30,0,0,0,0,0,0,10-30k,10-30k,10-30k,10-30k,10-30k,30-60k,1-5k,1-5k,5-10k,1-5k,10-20k,1-5k,0
>225k,female,1,single,41-50,-1,-1,-1,-1,-1,0,<10K,10-30k,<10K,<10K,10-30k,<10K,10-20k,1-5k,5-10k,10-20k,1-5k,5-10k,0
150-225k,male,1,married,41-50,0,0,-1,0,0,0,>100k,<10K,>100k,60-100k,>100k,>100k,1-5k,>20k,10-20k,5-10k,1-5k,1-5k,0
75-150k,female,1,single,20-30,0,0,0,0,0,0,30-60k,30-60k,30-60k,30-60k,30-60k,30-60k,1-5k,1-5k,1-5k,1-5k,1-5k,1-5k,0
<75K,female,3,married,41-50,0,0,0,0,0,0,60-100k,30-60k,30-60k,30-60k,30-60k,10-30k,1-5k,1-5k,1-5k,1-5k,1-5k,5-10k,0
>225k,female,1,single,20-30,-1,2,-1,-1,0,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,<1K,<1K,<1K,<1K,<1K,0
<75K,male,1,single,20-30,-1,-1,-1,-2,-2,-2,<10K,<10K,<10K,<10K,<10K,<10K,1-5k,0,0,0,0,0,1
>225k,female,3,single,31-40,1,-2,-2,-2,-1,-1,<10K,<10K,<10K,<10K,<10K,<10K,0,0,0,1-5k,5-10k,1-5k,0
>225k,female,2,single,20-30,-1,-1,-1,-1,-1,-1,10-30k,10-30k,<10K,10-30k,<10K,<10K,10-20k,<1K,10-20k,5-10k,<1K,0,1
<75K,female,2,single,20-30,1,2,2,2,2,2,10-30k,10-30k,10-30k,10-30k,10-30k,10-30k,1-5k,0,1-5k,0,1-5k,0,1
